"","w_geocode","CE01"
"916","530050108032004",0
"917","530050108032008",125
"918","530050108032009",1
"919","530050108032010",0
"920","530050108032014",27
"921","530050108032015",132
"922","530050108032016",115
"923","530050108032017",0
"924","530050108032021",0
"925","530050108032025",0
"926","530050108032031",2
"927","530050108032032",19
"928","530050108032035",1
"929","530050108032037",55
"930","530050108032039",13
"931","530050108032041",0
"932","530050108033000",1
"933","530050108033001",4
"934","530050108033002",0
"935","530050108033005",0
"936","530050108033006",30
"937","530050108033008",0
"938","530050108033010",20
"939","530050108033011",2
"940","530050108033012",11
"941","530050108033014",4
"942","530050108033017",1
"943","530050108033018",17
"944","530050108033020",0
"945","530050108033021",0
"946","530050108033023",6
"947","530050108033024",0
"948","530050108033027",9
"949","530050108033028",2
"950","530050108033030",0
"951","530050108033034",0
"952","530050108033036",0
"953","530050108033038",1
"954","530050108033040",0
"955","530050108034000",3
"956","530050108034001",0
"957","530050108034002",2
"958","530050108034003",1
"959","530050108034004",0
"960","530050108034006",3
"961","530050108034010",1
"962","530050108034013",1
"963","530050108034014",0
"964","530050108034015",1
"965","530050108034018",1
"966","530050108051001",7
"967","530050108051005",1
"968","530050108051008",0
"969","530050108051011",0
"970","530050108051012",0
"971","530050108051015",3
"972","530050108051016",12
"973","530050108051019",2
"974","530050108051023",8
"975","530050108051029",4
"976","530050108051032",5
"977","530050108051033",0
"978","530050108051034",0
"979","530050108051038",1
"980","530050108052001",3
"981","530050108052002",13
"982","530050108052007",2
"983","530050108052009",0
"984","530050108052014",8
"985","530050108052021",13
"986","530050108053005",71
"987","530050108053007",85
"988","530050108053008",0
"989","530050108053009",7
"990","530050108053011",0
"991","530050108053012",0
"992","530050108053013",3
"993","530050108053014",25
"994","530050108053015",6
"995","530050108053021",2
"996","530050108053031",46
"997","530050108053032",1
"998","530050108053033",2
"999","530050108053034",2
"1000","530050108053041",1
"1001","530050108053045",10
"1002","530050108053046",25
"1003","530050108053047",4
"1004","530050108053050",7
"1005","530050108053051",43
"1006","530050108054001",0
"1007","530050108054006",0
"1008","530050108054009",1
"1009","530050108054012",0
"1010","530050108054023",10
"1011","530050108054026",1
"1012","530050108054027",1
"1013","530050108054029",1
"1014","530050108054031",0
"1015","530050108054033",17
"1016","530050108054036",0
"1017","530050108071000",1
"1018","530050108071004",1
"1019","530050108071018",48
"1020","530050108071066",1
"1021","530050108071070",4
"1022","530050108071080",3
"1023","530050108071086",0
"1024","530050108071088",1
"1025","530050108071092",1
"1026","530050108071100",1
"1027","530050108091000",74
"1028","530050108091001",64
"1029","530050108091002",38
"1030","530050108091005",2
"1031","530050108091007",24
"1032","530050108091008",7
"1033","530050108091009",1
"1034","530050108091010",4
"1035","530050108091019",1
"1036","530050108091020",0
"1037","530050108092000",43
"1038","530050108092001",201
"1039","530050108092003",0
"1040","530050108092005",0
"1041","530050108092007",0
"1042","530050108092008",12
"1043","530050108092009",0
"1044","530050108092012",2
"1045","530050108092014",4
"1046","530050108092015",0
"1047","530050108092021",9
"1048","530050108093002",432
"1049","530050108093003",0
"1050","530050108093004",134
"1051","530050108093005",120
"1052","530050108093006",12
"1053","530050108093007",80
"1054","530050108093009",1
"1055","530050108093010",3
"1056","530050108093011",3
"1057","530050108093013",1
"1058","530050108093015",4
"1059","530050108093016",1
"1060","530050108093017",2
"1061","530050108093018",1
"1062","530050108101000",0
"1063","530050108101004",0
"1064","530050108101005",0
"1065","530050108101009",1
"1066","530050108101010",3
"1067","530050108101012",0
"1068","530050108101015",0
"1069","530050108102000",58
"1070","530050108102002",17
"1071","530050108102006",6
"1072","530050108102007",12
"1073","530050108102009",0
"1074","530050108102011",35
"1075","530050108102013",0
"1076","530050108102015",1
"1077","530050108102024",1
"1078","530050108102025",0
"1079","530050108102030",0
"1080","530050108102031",1
"1081","530050108102032",0
"1082","530050108103000",0
"1083","530050108103001",0
"1084","530050108103002",2
"1085","530050108103004",1
"1086","530050108103005",0
"1087","530050108111000",12
"1088","530050108111004",5
"1089","530050108111008",0
"1090","530050108111012",0
"1091","530050108111018",0
"1092","530050108111020",0
"1093","530050108111024",1
"1094","530050108111037",0
"1095","530050108111039",1
"1096","530050108112015",1
"1097","530050108112020",2
"1098","530050108112021",0
"1099","530050108112023",1
"1100","530050108112024",3
"1101","530050108112026",8
"1102","530050108112029",1
"1103","530050108112030",0
"1104","530050108112031",1
"1105","530050108112032",0
"1106","530050108112034",1
"1107","530050108112041",2
"1108","530050108131001",10
"1109","530050108131003",0
"1110","530050108131005",4
"1111","530050108131006",13
"1112","530050108131007",0
"1113","530050108132000",7
"1114","530050108132001",16
"1115","530050108132005",0
"1116","530050108132007",0
"1117","530050108132009",2
"1118","530050108132011",0
"1119","530050108132017",0
"1120","530050108132018",0
"1121","530050108132025",0
"1122","530050108132029",0
"1123","530050108132031",0
"1124","530050108132033",1
"1125","530050108132047",4
"1126","530050108132048",15
"1127","530050108132051",21
"1128","530050108132052",8
"1129","530050108132062",3
"1130","530050108133000",93
"1131","530050108133001",0
"1132","530050108133005",2
"1133","530050108133006",0
"1134","530050108133009",12
"1135","530050108133010",35
"1136","530050108133012",4
"1137","530050108133019",12
"1138","530050108133028",1
"1139","530050108133029",1
"1140","530050108133031",0
"1141","530050108133035",0
"1142","530050108133037",3
"1143","530050108133039",1
"1144","530050108133040",0
"1145","530050108133041",5
"1146","530050108133042",16
"1147","530050108133045",0
"1148","530050108133047",2
"1149","530050108133048",0
"1150","530050108133051",0
"1151","530050108134000",0
"1152","530050108134005",4
"1153","530050108134006",1
"1154","530050108134007",1
"1155","530050108134009",9
